,DateTime,P1,P2,P3,P4,P5,P6,target
3907322,2018-11-10 03:30:00,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907323,2018-11-10 03:30:00,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907324,2018-11-10 03:30:01,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907325,2018-11-10 03:30:01,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907326,2018-11-10 03:30:01,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907327,2018-11-10 03:30:02,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907328,2018-11-10 03:30:02,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907331,2018-11-10 03:30:03,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907330,2018-11-10 03:30:03,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907329,2018-11-10 03:30:03,4.918032786885246,26.229508196721312,20.491803278688526,25.40983606557377,25.40983606557377,16.39344262295082,True
3907332,2018-11-10 03:30:04,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907333,2018-11-10 03:30:04,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907334,2018-11-10 03:30:05,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907335,2018-11-10 03:30:05,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907336,2018-11-10 03:30:05,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907337,2018-11-10 03:30:06,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907338,2018-11-10 03:30:06,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907341,2018-11-10 03:30:07,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907340,2018-11-10 03:30:07,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907339,2018-11-10 03:30:07,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907342,2018-11-10 03:30:08,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,26.229508196721312,17.21311475409836,True
3907343,2018-11-10 03:30:08,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907344,2018-11-10 03:30:09,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907345,2018-11-10 03:30:09,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907346,2018-11-10 03:30:09,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907347,2018-11-10 03:30:10,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907348,2018-11-10 03:30:10,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907351,2018-11-10 03:30:11,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907350,2018-11-10 03:30:11,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3907349,2018-11-10 03:30:11,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907352,2018-11-10 03:30:12,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907353,2018-11-10 03:30:12,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907354,2018-11-10 03:30:13,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907355,2018-11-10 03:30:13,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907356,2018-11-10 03:30:13,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907357,2018-11-10 03:30:14,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907358,2018-11-10 03:30:14,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907361,2018-11-10 03:30:15,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907359,2018-11-10 03:30:15,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907360,2018-11-10 03:30:15,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3907362,2018-11-10 03:30:16,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
